MAL_ID,eng_version,Score,Genres,Episodes,Type,Studios,Completed,Rating,Producers,Duration,Members
32935,Haikyu!! 3rd Season,8.87,"Comedy, Sports, Drama, School, Shounen",10,TV,Production I.G,619835,PG-13 - Teens 13 or older,"TOHO animation, Shueisha",24 min. per ep.,727240
37491,Gintama.:Silver Soul Arc - Second Half War,8.86,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",14,TV,Bandai Namco Pictures,67276,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Shueisha",24 min. per ep.,114591
37510,Mob Psycho 100 II,8.84,"Action, Slice of Life, Comedy, Supernatural",13,TV,Bones,623709,PG-13 - Teens 13 or older,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",24 min. per ep.,835688
199,Spirited Away,8.83,"Adventure, Supernatural, Drama",1,Movie,Studio Ghibli,1124666,PG - Children,Toho,2 hr. 5 min.,1245727
31758,Kizumonogatari III: Reiketsu-hen,8.82,"Action, Mystery, Supernatural, Vampire",1,Movie,Shaft,220801,R - 17+ (violence & profanity),"Aniplex, Kodansha",1 hr. 23 min.,312062
36838,Gintama.:Silver Soul Arc,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",12,TV,Bandai Namco Pictures,75576,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Shueisha",24 min. per ep.,126835
33050,Fate/stay night:Heaven's Feel - III. Spring Song,8.79,"Action, Supernatural, Magic, Fantasy",1,Movie,ufotable,19886,R - 17+ (violence & profanity),"Aniplex, Notes, Kadokawa",2 hr. 2 min.,127531
33095,Descending Stories:Showa Genroku Rakugo Shinju,8.79,"Drama, Historical, Josei",12,TV,Studio Deen,57236,PG-13 - Teens 13 or older,"Mainichi Broadcasting System, Kodansha, DAX Production, King Records",24 min. per ep.,140007
17074,Monogatari Series:Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",26,TV,Shaft,336572,R - 17+ (violence & profanity),"Aniplex, Kodansha, Cyclone Graphics",24 min. per ep.,509401
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,TV,Sunrise,718161,R - 17+ (violence & profanity),Bandai Visual,24 min. per ep.,1251960
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74,TV,Madhouse,214491,R+ - Mild Nudity,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",24 min. per ep.,614100
24701,Mushishi Zoku Shou 2nd Season,8.76,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",10,TV,Artland,100107,PG-13 - Teens 13 or older,"Aniplex, Kodansha, Delfi Sound",23 min. per ep.,198954
263,Fighting Spirit,8.75,"Comedy, Sports, Drama, Shounen",75,TV,Madhouse,221671,PG-13 - Teens 13 or older,VAP,23 min. per ep.,383603
23273,Your Lie in April,8.74,"Drama, Music, Romance, School, Shounen",22,TV,A-1 Pictures,1036649,PG-13 - Teens 13 or older,"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",22 min. per ep.,1442330
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",1,Movie,Kinema Citrus,85039,R - 17+ (violence & profanity),,1 hr. 45 min.,216416
40591,Kaguya-sama:Love is War Season 2,8.74,"Comedy, Psychological, Romance, School, Seinen",12,TV,A-1 Pictures,443172,PG-13 - Teens 13 or older,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",24 min. per ep.,654744
34599,Made in Abyss,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",13,TV,Kinema Citrus,550412,R - 17+ (violence & profanity),"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",25 min. per ep.,862410
28891,Haikyu!! 2nd Season,8.73,"Comedy, Sports, Drama, School, Shounen",25,TV,Production I.G,736157,PG-13 - Teens 13 or older,"TOHO animation, Shueisha",24 min. per ep.,874150
44,Samurai X:Trust and Betrayal,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",4,OVA,Studio Deen,150183,R - 17+ (violence & profanity),Aniplex,30 min. per ep.,228484
21939,MUSHI-SHI -Next Passage-,8.72,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",10,TV,Artland,113559,PG-13 - Teens 13 or older,"Aniplex, Kodansha, Delfi Sound",24 min. per ep.,226522
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.72,"Action, Historical, Demons, Supernatural, Shounen",1,Movie,ufotable,41603,R - 17+ (violence & profanity),"Aniplex, Shueisha",1 hr. 57 min.,341006
1575,Code Geass:Lelouch of the Rebellion,8.72,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",25,TV,Sunrise,1209288,R - 17+ (violence & profanity),"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",24 min. per ep.,1583882
164,Princess Mononoke,8.72,"Action, Adventure, Fantasy",1,Movie,Studio Ghibli,735624,PG-13 - Teens 13 or older,"Tokuma Shoten, Nippon Television Network",2 hr. 15 min.,876813
37521,Vinland Saga,8.71,"Action, Adventure, Drama, Historical, Seinen",24,TV,Wit Studio,380519,R - 17+ (violence & profanity),"Production I.G, Dentsu, Kodansha, Twin Engine",24 min. per ep.,671949
245,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",43,TV,Studio Pierrot,334925,R - 17+ (violence & profanity),"Aniplex, Fuji TV",25 min. per ep.,589324
457,Mushi-Shi,8.69,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",26,TV,Artland,235371,PG-13 - Teens 13 or older,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",25 min. per ep.,620736
38329,Rascal Does Not Dream of a Dreaming Girl,8.68,"Supernatural, Drama, Romance, School",1,Movie,CloverWorks,259853,PG-13 - Teens 13 or older,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",1 hr. 30 min.,359086
5258,Fighting Spirit:New Challenger,8.67,"Comedy, Sports, Drama, Shounen",26,TV,Madhouse,156501,PG-13 - Teens 13 or older,"VAP, Kodansha, Nippon Television Network",23 min. per ep.,201421
2921,Rocky Joe 2,8.67,"Action, Drama, Shounen, Slice of Life, Sports",47,TV,Tokyo Movie Shinsha,14113,PG-13 - Teens 13 or older,Annapuru,24 min. per ep.,30192
431,Howl's Moving Castle,8.67,"Adventure, Drama, Fantasy, Romance",1,Movie,Studio Ghibli,754791,G - All Ages,"d-rights, Tokuma Shoten",1 hr. 59 min.,847414
11665,Natsume's Book of Friends Season 4,8.67,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Brain's Base,114646,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",24 min. per ep.,193052
2001,Gurren Lagann,8.66,"Action, Adventure, Comedy, Mecha, Sci-Fi",27,TV,Gainax,805570,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",24 min. per ep.,1213765
7311,The Disappearance of Haruhi Suzumiya,8.65,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1,Movie,Kyoto Animation,322186,PG-13 - Teens 13 or older,"Kadokawa Shoten, Animation Do",2 hr. 42 min.,486871
37779,The Promised Neverland,8.65,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",12,TV,CloverWorks,863136,R - 17+ (violence & profanity),"Aniplex, Dentsu, A-1 Pictures, Fuji TV, Shueisha, CA-Cygames Anime Fund",22 min. per ep.,1133952
37987,Violet Evergarden Movie,8.65,"Slice of Life, Drama, Fantasy",1,Movie,Kyoto Animation,21244,PG-13 - Teens 13 or older,Shochiku,2 hr. 20 min.,189859
34591,Natsume's Book of Friends Season 6,8.65,"Slice of Life, Demons, Supernatural, Drama, Shoujo",11,TV,Shuka,64091,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",23 min. per ep.,134852
12355,Wolf Children,8.64,"Fantasy, Slice of Life",1,Movie,Studio Chizu,448228,PG - Children,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",1 hr. 57 min.,616049
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.64,"Psychological, Drama, Thriller, Fantasy",12,TV,White Fox,51,R - 17+ (violence & profanity),Kadokawa,28 min. per ep.,342829
33352,Violet Evergarden,8.64,"Slice of Life, Drama, Fantasy",13,TV,Kyoto Animation,615251,PG-13 - Teens 13 or older,"Lantis, Pony Canyon, Rakuonsha, ABC Animation",24 min. per ep.,1039300
22135,Ping Pong the Animation,8.63,"Drama, Psychological, Seinen, Sports",11,TV,Tatsunoko Production,145309,PG-13 - Teens 13 or older,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",23 min. per ep.,265774
1535,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",37,TV,Madhouse,2146116,R - 17+ (violence & profanity),"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",23 min. per ep.,2589552
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.63,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,Movie,Artland,50964,PG-13 - Teens 13 or older,"Aniplex, Kodansha, Delfi Sound",47 min.,96435
38000,Demon Slayer:Kimetsu no Yaiba,8.62,"Action, Demons, Historical, Shounen, Supernatural",26,TV,ufotable,1079964,R - 17+ (violence & profanity),"Aniplex, Shueisha",23 min. per ep.,1423778
31757,Kizumonogatari Part 2:Nekketsu,8.61,"Action, Mystery, Supernatural, Vampire",1,Movie,Shaft,227787,R - 17+ (violence & profanity),"Aniplex, Kodansha",1 hr. 4 min.,305408
37991,JoJo's Bizarre Adventure:Golden Wind,8.61,"Action, Adventure, Shounen",39,TV,David Production,383733,R - 17+ (violence & profanity),"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",23 min. per ep.,542642
38474,Laid-Back Camp,8.61,"Slice of Life, Comedy",13,TV,C-Station,9,PG-13 - Teens 13 or older,"Half H.P Studio, MAGES., DeNA",23 min. per ep.,101971
7785,The Tatami Galaxy,8.61,"Mystery, Comedy, Psychological, Romance",11,TV,Madhouse,114567,R - 17+ (violence & profanity),"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",23 min. per ep.,307558
19647,Hajime No Ippo:The Fighting!,8.6,"Comedy, Sports, Drama, Shounen",25,TV,"Madhouse, MAPPA",129332,PG-13 - Teens 13 or older,"VAP, Kodansha, Nippon Television Network",22 min. per ep.,175315
42897,Horimiya,8.6,"Slice of Life, Comedy, Romance, School, Shounen",13,TV,CloverWorks,189,PG-13 - Teens 13 or older,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo",23 min. per ep.,363936
28735,Showa Genroku Rakugo Shinju,8.6,"Drama, Historical, Josei",13,TV,Studio Deen,84037,PG-13 - Teens 13 or older,"Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production",26 min. per ep.,223244
10379,Natsume's Book of Friends Season 3,8.6,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Brain's Base,125678,PG-13 - Teens 13 or older,"Aniplex, Sakura Create",24 min. per ep.,200904
36098,I want to eat your pancreas,8.59,Drama,1,Movie,Studio VOLN,299661,PG-13 - Teens 13 or older,Aniplex,1 hr. 48 min.,437815
33049,Fate/stay night:Heaven's Feel - II. Lost Butterfly,8.59,"Action, Fantasy, Magic, Supernatural",1,Movie,ufotable,121809,R - 17+ (violence & profanity),"Aniplex, Notes, Kadokawa",1 hr. 57 min.,200194
35760,Attack on Titan Season 3,8.59,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",12,TV,Wit Studio,991045,R - 17+ (violence & profanity),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",23 min. per ep.,1212430
32983,Natsume's Book of Friends Season 5,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo",11,TV,Shuka,72069,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",23 min. per ep.,135177
11741,Fate/Zero Season 2,8.59,"Action, Supernatural, Magic, Fantasy",12,TV,ufotable,649100,R - 17+ (violence & profanity),"Aniplex, Nitroplus, Seikaisha, Notes",24 min. per ep.,808294
12365,Bakuman.,8.58,"Comedy, Drama, Romance, Shounen",25,TV,J.C.Staff,199772,PG-13 - Teens 13 or older,"NHK, Shueisha",24 min. per ep.,268794
44087,Gintama: The Semi-Final,8.58,"Action, Comedy, Historical, Parody, Samurai, Shounen",2,Special,,4103,PG-13 - Teens 13 or older,,24 min. per ep.,19351
44042,Holo Graffiti,8.58,Comedy,,ONA,,5,PG-13 - Teens 13 or older,Cover Corp,1 min.,18293
30276,One Punch Man,8.57,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",12,TV,Madhouse,1841220,R - 17+ (violence & profanity),"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",24 min. per ep.,2123866
4565,Gurren Lagann The Movie:The Lights in the Sky are Stars,8.57,"Action, Mecha, Sci-Fi, Space, Super Power",1,Movie,Gainax,112502,R+ - Mild Nudity,Aniplex,2 hr. 5 min.,168762
5300,Natsume's Book of Friends Season 2,8.57,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Brain's Base,133333,PG-13 - Teens 13 or older,"Aniplex, Nihon Ad Systems",24 min. per ep.,200649
35839,A Place Further Than The Universe,8.57,"Adventure, Comedy, Drama",13,TV,Madhouse,168250,PG-13 - Teens 13 or older,"Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund",23 min. per ep.,344406
21329,The Shadow that Devours the Sun,8.57,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",1,Special,Artland,69625,PG-13 - Teens 13 or older,"Aniplex, Kodansha, Delfi Sound",45 min.,105796
40776,Haikyuu!!: To the Top 2nd Season,8.57,"Comedy, Sports, Drama, School, Shounen",12,TV,Production I.G,194898,PG-13 - Teens 13 or older,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",23 min. per ep.,355906
4282,the Garden of sinners Chapter 5:Paradox Paradigm,8.56,"Action, Mystery, Supernatural, Drama, Romance, Thriller",1,Movie,ufotable,134993,R - 17+ (violence & profanity),Notes,1 hr. 54 min.,188403
40748,Jujutsu Kaisen (TV),8.54,"Action, Demons, Supernatural, School, Shounen",24,TV,MAPPA,299,R - 17+ (violence & profanity),"TOHO animation, Shueisha, dugout",23 min. per ep.,707976
801,Ghost in the Shell:Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",26,TV,Production I.G,115405,R - 17+ (violence & profanity),"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network",25 min. per ep.,191690
40417,Fruits Basket 2nd Season,8.54,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",25,TV,TMS Entertainment,79090,PG-13 - Teens 13 or older,TMS Music,23 min. per ep.,197274
30654,Assassination Classroom Second Season,8.54,"Action, Comedy, School, Shounen",25,TV,Lerche,701408,PG-13 - Teens 13 or older,"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",23 min. per ep.,899476
3297,Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen",13,TV,Hal Film Maker,30863,G - All Ages,"TV Tokyo, Shochiku, Mag Garden",24 min. per ep.,98196
35843,Gintama.:Slip Arc,8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13,TV,Bandai Namco Pictures,79630,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Dentsu, Shueisha",23 min. per ep.,127958
20583,Haikyu!!,8.53,"Comedy, Sports, Drama, School, Shounen",25,TV,Production I.G,896822,PG-13 - Teens 13 or older,"Mainichi Broadcasting System, TOHO animation, Shueisha",24 min. per ep.,1185274
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",101,TV,Toei Animation,108713,PG-13 - Teens 13 or older,"TV Asahi, Animax",23 min. per ep.,201203
37379,Chihayafuru 3,8.52,"Game, Slice of Life, Sports, Drama, School, Josei",24,TV,Madhouse,40652,PG-13 - Teens 13 or older,"Kodansha, Nippon Television Network, TC Entertainment, Nippon Television Music, FBC",22 min. per ep.,88901
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",,TV,Toei Animation,33,PG-13 - Teens 13 or older,"Fuji TV, TAP, Shueisha",24 min.,1352724
38040,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,8.52,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",1,Movie,J.C.Staff,313650,PG-13 - Teens 13 or older,,1 hr. 30 min.,418555
12431,Space Brothers,8.52,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",99,TV,A-1 Pictures,37234,PG-13 - Teens 13 or older,"Aniplex, Dentsu, YTV, Trinity Sound",24 min. per ep.,150428
6114,Rainbow,8.52,"Drama, Historical, Seinen, Thriller",26,TV,Madhouse,135582,R - 17+ (violence & profanity),"VAP, Nippon Television Network",22 min. per ep.,304557
7472,Gintama:The Movie,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1,Movie,Sunrise,89025,R - 17+ (violence & profanity),"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",1 hr. 35 min.,116327
30484,Steins;Gate 0,8.51,"Sci-Fi, Thriller",23,TV,White Fox,294077,PG-13 - Teens 13 or older,"Frontier Works, Media Factory, Kadokawa Shoten, Movic",23 min. per ep.,590847
578,Grave of the Fireflies,8.51,"Drama, Historical",1,Movie,Studio Ghibli,328347,PG-13 - Teens 13 or older,,1 hr. 28 min.,438214
31933,JoJo's Bizarre Adventure:Diamond is Unbreakable,8.51,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",39,TV,David Production,494738,R - 17+ (violence & profanity),"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",23 min. per ep.,625022
32,Neon Genesis Evangelion:The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",1,Movie,"Gainax, Production I.G",482918,R+ - Mild Nudity,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",1 hr. 27 min.,572080
205,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",26,TV,Manglobe,551621,R - 17+ (violence & profanity),"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG",24 min. per ep.,892196
39587,Re:ZERO -Starting Life in Another World- Season 2,8.5,"Psychological, Drama, Thriller, Fantasy",13,TV,White Fox,330007,R - 17+ (violence & profanity),"AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",26 min. per ep.,614588
11577,Steins;Gate:The Movie − Load Region of Déjà Vu,8.5,"Sci-Fi, Drama",1,Movie,White Fox,339621,PG-13 - Teens 13 or older,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",1 hr. 30 min.,446967
37208,Mo Dao Zu Shi,8.5,"Action, Adventure, Mystery, Historical, Supernatural",15,ONA,B.CMAY PICTURES,49180,R - 17+ (violence & profanity),Tencent Penguin Pictures,24 min. per ep.,131604
36999,Zoku Owarimonogatari,8.5,"Mystery, Comedy, Supernatural, Vampire",6,Movie,Shaft,77404,R - 17+ (violence & profanity),"Aniplex, Kodansha",28 min. per ep.,146843
32182,Mob Psycho 100,8.49,"Action, Slice of Life, Comedy, Supernatural",12,TV,Bones,942402,PG-13 - Teens 13 or older,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",24 min. per ep.,1255830
33,Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,TV,OLM,276588,R+ - Mild Nudity,"VAP, Hakusensha, Nippon Television Network",25 min. per ep.,432190
10165,Nichijou - My Ordinary Life,8.48,"Slice of Life, Comedy, School, Shounen",26,TV,Kyoto Animation,289512,PG-13 - Teens 13 or older,"Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do",23 min. per ep.,647924
437,Perfect Blue,8.48,"Dementia, Drama, Horror, Psychological",1,Movie,Madhouse,256041,R+ - Mild Nudity,Rex Entertainment,1 hr. 20 min.,393287
36885,Saenai Heroine no Sodatekata Fine,8.48,"Harem, Comedy, Romance, Ecchi, School",1,Movie,CloverWorks,33368,PG-13 - Teens 13 or older,,1 hr. 54 min.,87828
16498,Attack on Titan,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",25,TV,Wit Studio,2182587,R - 17+ (violence & profanity),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",24 min. per ep.,2531397
34612,The Disastrous Life of Saiki K. 2,8.48,"Slice of Life, Comedy, Supernatural, School, Shounen",24,TV,"J.C.Staff, Egg Firm",251764,PG-13 - Teens 13 or older,"TV Tokyo, Shogakukan-Shueisha Productions, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.",24 min. per ep.,349764
877,Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",47,TV,Madhouse,185800,R+ - Mild Nudity,"VAP, Nippon Television Network, Shueisha",23 min. per ep.,403296
40059,Golden Kamuy Season 3,8.46,"Action, Adventure, Historical, Seinen",12,TV,Geno Studio,32912,R - 17+ (violence & profanity),"Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine",23 min. per ep.,75226
31181,Owarimonogatari,8.46,"Mystery, Comedy, Supernatural, Vampire",12,TV,Shaft,218734,R - 17+ (violence & profanity),Aniplex,26 min. per ep.,356371
24687,Mushishi Path of Thorns,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,Special,Artland,51111,PG-13 - Teens 13 or older,"Aniplex, Kodansha, Delfi Sound",47 min.,77296
